rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
2038,8890150,K02650.01,Kepler-395 c,CONFIRMED,Active,2017-05-10,CANDIDATE,0.9850,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,34.989784700,3.8030000e-04,-3.8030000e-04,144.2091200,9.700000e-03,-9.700000e-03,2454977.209,9.700000e-03,-9.700000e-03,0,,,,,,0.0340,0.4220,-0.0340,4.20800,0.23500,-0.23500,,,,4.9850e+02,4.720e+01,-4.720e+01,0.020074,1.455000e-03,-9.070000e-04,4.19621,0.40190,-1.99882,LS+MCMC,1.14,7.000e-02,-1.000e-01,0.1691,,,89.97,,,292.0,,,1.71,0.35,-0.42,64.760000,6.200000,-6.200000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3037,0.4224,q1_q17_dr25_koi,3.8563123,10.0909195,11.50,2,40,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.52780,Mandel and Agol (2002 ApJ 580 171),,,008/008890/008890150/dv/kplr008890150-20160209194854_dvr.pdf,008/008890/008890150/dv/kplr008890150-001-20160209194854_dvs.pdf,3765.00,75.00,-83.00,4.725,0.049,-0.021,0.0200,0.1500,-0.1500,0.5210,0.0290,-0.0470,0.5260,0.0350,-0.0420,,,,q1_q17_dr25_stellar,293.511080,45.136589,15.987,17.431,16.016,15.369,15.039,13.818,13.131,12.948,0.216,19.567430000,0.000026000,45.13639000,0.00029000,0.91000,1.00000,-0.70000,1.00000,-4.500000e-04,5.90000e-04,4.600000e-04,6.10000e-04,0.1900,0.3400,-0.5000,0.5600,0.5300,0.5700,0.3900,0.3700,-0.2600,0.4800,0.4700,0.4300
4688,6497146,K03284.01,Kepler-438 b,CONFIRMED,Active,2017-05-10,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,35.233069400,2.7050000e-04,-2.7050000e-04,135.3647700,6.370000e-03,-6.370000e-03,2454968.365,6.370000e-03,-6.370000e-03,0,,,,,,0.1390,0.3230,-0.1390,3.67400,0.21500,-0.21500,,,,3.5280e+02,2.750e+01,-2.750e+01,0.016941,1.070000e-03,-7.250000e-04,6.12686,0.96504,-2.63386,LS+MCMC,0.97,6.000e-02,-7.000e-02,0.1729,,,89.89,,,288.0,,,1.62,0.37,-0.34,73.800000,11.600000,-11.600000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2107,0.5308,q1_q17_dr25_koi,3.8971653,11.9203230,14.50,1,38,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.61200,Mandel and Agol (2002 ApJ 580 171),,,006/006497/006497146/dv/kplr006497146-20160209194854_dvr.pdf,006/006497/006497146/dv/kplr006497146-001-20160209194854_dvs.pdf,3749.00,75.00,-84.00,4.743,0.033,-0.033,0.1600,0.1500,-0.1500,0.5240,0.0330,-0.0370,0.5540,0.0280,-0.0430,,,,q1_q17_dr25_stellar,281.645810,41.951092,14.467,15.987,14.610,13.815,13.393,12.130,11.449,11.199,0.002,18.776325000,0.000021000,41.95070000,0.00024000,-2.47000,0.86000,-1.39000,0.87000,5.800000e-04,3.20000e-04,4.300000e-04,3.20000e-04,-0.2800,0.4200,-0.0300,0.3300,0.2800,0.4200,-0.4800,0.4200,0.0000,0.3300,0.4800,0.4200
7542,9480398,K07179.01,,CANDIDATE,Active,2015-09-18,CANDIDATE,,0,0,0,0,q1_q17_dr24_koi,TOO_FEW_QUARTERS,407.146560000,5.8960000e-02,-5.8960000e-02,509.2570000,7.430000e-02,-7.430000e-02,2455342.257,7.430000e-02,-7.430000e-02,0,,,,,,0.7466,0.0484,-0.5277,23.26000,3.70000,-3.70000,,,,8.2300e+01,1.220e+01,-1.220e+01,0.008994,2.324000e-03,-1.042000e-03,0.08531,0.40496,-0.07313,MCMC,1.18,4.900e-01,-2.200e-01,1.0765,,,89.38,,,272.0,,,1.29,1.66,-0.54,90.800000,43.100000,-43.100000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2738,0.3852,q1_q17_dr24_koi,6.7403010,7.8154755,8.20,1,3,1,q1_q17_dr24_tce,11111101110111011000000000000000,,Mandel and Agol (2002 ApJ 580 171),,,009/009480/009480398/dv/kplr009480398-20141002224145_dvr.pdf,009/009480/009480398/dv/kplr009480398-001-20141002224145_dvs.pdf,5845.00,181.00,-197.00,4.282,0.162,-0.162,0.0200,0.2200,-0.2800,1.1980,0.5030,-0.2200,1.0010,0.1970,-0.1090,,,,stellar_q1_q17,297.374270,46.054806,13.310,13.544,13.244,13.210,,11.535,11.211,11.156,0.149,19.824913000,0.000054000,46.05438000,0.00055000,-1.40000,2.00000,-1.50000,2.00000,1.400000e-04,2.00000e-04,1.400000e-04,1.90000e-04,1.7000,1.6000,0.9000,2.6000,1.9000,3.0000,1.8000,2.7000,0.9000,4.3000,2.1000,4.5000
2617,3642335,K03010.01,Kepler-1410 b,CONFIRMED,Active,2017-05-10,CANDIDATE,0.9960,0,0,0,0,q1_q17_dr25_koi,CENT_KIC_POS,60.866097400,6.4970000e-04,-6.4970000e-04,179.2867400,7.870000e-03,-7.870000e-03,2455012.287,7.870000e-03,-7.870000e-03,0,,,,,,0.0040,0.4630,-0.0040,4.39700,0.23800,-0.23800,,,,7.1430e+02,5.370e+01,-5.370e+01,0.024307,1.273000e-03,-1.109000e-03,6.48899,0.04423,-3.57545,LS+MCMC,1.39,7.000e-02,-1.000e-01,0.2465,,,90.00,,,244.0,,,0.84,0.17,-0.16,108.315000,0.738000,-0.738000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3037,0.4224,q1_q17_dr25_koi,3.7375264,12.6815020,15.40,1,23,1,q1_q17_dr25_tce,01111111111111111000000000000000,0.90580,Mandel and Agol (2002 ApJ 580 171),,,003/003642/003642335/dv/kplr003642335-20160209194854_dvr.pdf,003/003642/003642335/dv/kplr003642335-001-20160209194854_dvs.pdf,3808.00,69.00,-76.00,4.734,0.033,-0.027,-0.0200,0.1500,-0.1500,0.5220,0.0280,-0.0350,0.5390,0.0300,-0.0370,,,,q1_q17_dr25_stellar,290.510190,38.743542,15.757,17.121,15.759,15.173,14.829,13.586,12.906,12.767,0.052,19.367387000,0.000025000,38.74388000,0.00024000,1.70000,1.00000,1.21000,0.86000,-9.600000e-04,7.90000e-04,-5.200000e-04,6.60000e-04,-0.2500,0.5000,-0.5600,0.7300,0.6200,0.7900,0.5100,0.4800,-0.2100,0.3700,0.5500,0.4700
4649,4138008,K04742.01,Kepler-442 b,CONFIRMED,Active,2017-05-10,CANDIDATE,0.9930,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,112.303136000,1.7220000e-03,-1.7220000e-03,230.4383000,1.250000e-02,-1.250000e-02,2455063.438,1.250000e-02,-1.250000e-02,0,,,,,,0.2480,0.1910,-0.2480,5.86900,0.36200,-0.36200,,,,5.0210e+02,4.410e+01,-4.410e+01,0.020068,1.174000e-03,-1.111000e-03,4.53694,1.04694,-1.67626,LS+MCMC,1.30,7.000e-02,-5.000e-02,0.3874,,,89.90,,,241.0,,,0.79,0.15,-0.11,144.600000,33.400000,-33.400000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.0833,0.6584,q1_q17_dr25_koi,6.4854620,12.9237930,13.10,1,12,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.72840,Mandel and Agol (2002 ApJ 580 171),,,004/004138/004138008/dv/kplr004138008-20160209194854_dvr.pdf,004/004138/004138008/dv/kplr004138008-001-20160209194854_dvs.pdf,4401.00,78.00,-78.00,4.677,0.017,-0.027,-0.3800,0.1500,-0.1500,0.5950,0.0300,-0.0240,0.6130,0.0300,-0.0300,,,,q1_q17_dr25_stellar,285.366580,39.280079,14.976,15.941,14.930,14.563,14.341,13.233,12.581,12.488,0.308,19.024422000,0.000027000,39.28016000,0.00034000,-0.70000,1.10000,0.30000,1.20000,2.800000e-04,5.80000e-04,-4.300000e-04,6.30000e-04,0.2000,1.3000,-0.1100,0.6000,0.1900,0.8900,0.2100,0.7900,-0.4500,0.8600,0.5000,0.8400
3217,8845205,K00463.01,Kepler-560 b,CONFIRMED,Active,2017-05-10,CANDIDATE,0.0010,0,0,0,0,q1_q17_dr25_koi,CENT_KIC_POS,18.477626940,1.5630000e-05,-1.5630000e-05,185.2690610,6.740000e-04,-6.740000e-04,2455018.269,6.740000e-04,-6.740000e-04,0,,,,,,0.7120,0.1540,-0.4880,1.94000,0.04570,-0.04570,,,,2.6046e+03,3.970e+01,-3.970e+01,0.050013,3.942000e-03,-3.011000e-03,9.82590,13.90275,-6.32643,LS+MCMC,1.55,3.200e-01,-2.900e-01,0.0887,,,89.27,,,267.0,,,1.21,0.72,-0.47,56.200000,26.500000,-26.500000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3775,0.3402,q1_q17_dr25_koi,14.7961070,78.0033600,75.70,1,69,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.70550,Mandel and Agol (2002 ApJ 580 171),,,008/008845/008845205/dv/kplr008845205-20160209194854_dvr.pdf,008/008845/008845205/dv/kplr008845205-001-20160209194854_dvs.pdf,3395.00,74.00,-67.00,4.970,0.072,-0.065,-0.1200,0.1500,-0.1500,0.2830,0.0590,-0.0530,0.2710,0.0720,-0.0590,,,,q1_q17_dr25_stellar,300.206090,45.018139,14.708,16.364,14.915,13.999,13.497,12.276,11.671,11.455,0.000,20.013786900,0.000004100,45.01814100,0.00004600,1.79000,0.16000,0.00000,0.17000,-3.700000e-04,4.80000e-04,1.110000e-03,5.60000e-04,0.0010,0.0780,-0.0280,0.0810,0.0280,0.0810,1.0960,0.0820,0.2560,0.0780,1.1260,0.0820
4110,5977470,K04550.01,,CANDIDATE,Active,2017-05-10,CANDIDATE,0.9340,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,140.251943000,1.6770000e-03,-1.6770000e-03,175.1370000,1.030000e-02,-1.030000e-02,2455008.137,1.030000e-02,-1.030000e-02,0,,,,,,0.3230,0.1390,-0.3230,6.57600,0.32700,-0.32700,,,,5.6770e+02,5.480e+01,-5.480e+01,0.021342,1.291000e-03,-1.372000e-03,3.78410,1.32132,-1.10506,LS+MCMC,1.84,5.000e-02,-1.200e-01,0.4836,,,89.88,,,271.0,,,1.28,0.17,-0.24,157.900000,55.100000,-55.100000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1017,0.6385,q1_q17_dr25_koi,4.1720540,9.6396110,11.90,1,11,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.45420,Mandel and Agol (2002 ApJ 580 171),,,005/005977/005977470/dv/kplr005977470-20160209194854_dvr.pdf,005/005977/005977470/dv/kplr005977470-001-20160209194854_dvs.pdf,4821.00,76.00,-86.00,4.529,0.064,-0.016,0.1600,0.1500,-0.1500,0.7880,0.0230,-0.0510,0.7650,0.0470,-0.0280,,,,q1_q17_dr25_stellar,296.457760,41.266022,15.429,16.320,15.412,15.048,14.878,13.880,13.278,13.211,0.349,19.763853000,0.000026000,41.26627000,0.00030000,0.10000,1.10000,0.90000,1.10000,-7.000000e-05,6.30000e-04,-4.900000e-04,6.40000e-04,0.3400,0.5400,1.1200,0.6400,1.1700,0.6300,0.3500,0.5600,1.1500,0.6200,1.2000,0.6200
3413,9002278,K00701.03,Kepler-62 e,CONFIRMED,Active,2017-05-10,CANDIDATE,0.9940,0,0,0,0,q1_q17_dr25_koi,CENT_KIC_POS,122.385868100,5.0220000e-04,-5.0220000e-04,150.4115800,3.170000e-03,-3.170000e-03,2454983.412,3.170000e-03,-3.170000e-03,0,,,,,,0.1010,0.3530,-0.1010,7.12300,0.10200,-0.10200,,,,7.1110e+02,1.560e+01,-1.560e+01,0.023749,8.470000e-04,-4.280000e-04,3.01939,0.22328,-0.89162,LS+MCMC,1.72,1.000e-01,-7.000e-02,0.4324,,,89.96,,,269.0,,,1.24,0.27,-0.19,133.710000,9.900000,-9.900000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1731,0.5396,q1_q17_dr25_koi,13.4031530,35.9406400,46.30,5,11,3,q1_q17_dr25_tce,11111111111111111000000000000000,0.50960,Mandel and Agol (2002 ApJ 580 171),,,009/009002/009002278/dv/kplr009002278-20160209194854_dvr.pdf,009/009002/009002278/dv/kplr009002278-003-20160209194854_dvs.pdf,4926.00,98.00,-98.00,4.653,0.017,-0.049,-0.3600,0.1500,-0.1500,0.6620,0.0410,-0.0270,0.7270,0.0290,-0.0590,,,,q1_q17_dr25_stellar,283.212740,45.349861,13.725,14.417,13.654,13.429,13.302,12.256,11.739,11.659,0.998,18.880842100,0.000007300,45.34976000,0.00007300,-0.30000,0.28000,-0.36000,0.26000,0.000000e+00,2.00000e-04,-1.000000e-05,1.90000e-04,0.0300,0.3200,-0.2000,0.2600,0.2000,0.2800,-0.2800,0.3300,-0.6300,0.2600,0.6900,0.2700
3694,11415243,K04036.01,Kepler-1544 b,CONFIRMED,Active,2017-05-10,CANDIDATE,0.9650,0,0,0,0,q1_q17_dr25_koi,CENT_KIC_POS,168.811330000,2.1020000e-03,-2.1020000e-03,211.4398200,9.760000e-03,-9.760000e-03,2455044.440,9.760000e-03,-9.760000e-03,0,,,,,,0.0830,0.3990,-0.0830,6.58200,0.36000,-0.36000,,,,6.1440e+02,4.710e+01,-4.710e+01,0.021852,1.501000e-03,-9.860000e-04,5.27578,0.52419,-2.47748,LS+MCMC,1.69,1.000e-01,-6.000e-02,0.5459,,,89.98,,,241.0,,,0.80,0.17,-0.12,199.600000,19.800000,-19.800000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1082,0.6270,q1_q17_dr25_koi,7.4183440,14.8006360,15.30,1,9,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.48560,Mandel and Agol (2002 ApJ 580 171),,,011/011415/011415243/dv/kplr011415243-20160209194854_dvr.pdf,011/011415/011415243/dv/kplr011415243-001-20160209194854_dvs.pdf,4798.00,95.00,-95.00,4.620,0.015,-0.045,0.0000,0.1500,-0.1500,0.7070,0.0430,-0.0250,0.7710,0.0300,-0.0480,,,,q1_q17_dr25_stellar,297.285000,49.212460,14.061,14.893,14.015,13.704,13.543,12.480,11.985,11.903,0.691,19.819014000,0.000018000,49.21257000,0.00017000,0.51000,0.64000,0.41000,0.61000,-4.000000e-05,3.80000e-04,-1.800000e-04,3.60000e-04,0.5900,0.3100,0.1800,0.2200,0.6200,0.3400,1.0200,0.3800,0.2600,0.2400,1.0600,0.4100
8668,6209225,K06676.01,,CANDIDATE,Active,2015-09-18,CANDIDATE,,0,0,0,0,q1_q17_dr24_koi,TOO_FEW_QUARTERS,439.219780000,1.3540000e-02,-1.3540000e-02,523.3139000,2.000000e-02,-2.000000e-02,2455356.314,2.000000e-02,-2.000000e-02,0,,,,,,0.2863,0.1998,-0.2862,9.39200,0.60100,-0.60100,,,,3.4230e+02,3.350e+01,-3.350e+01,0.017205,6.750000e-04,-1.344000e-03,4.15804,1.18498,-1.92430,MCMC,1.81,6.200e-01,-1.700e-01,1.1379,,,89.95,,,266.0,,,1.18,1.17,-0.32,348.700000,99.400000,-99.400000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3062,0.2855,q1_q17_dr24_koi,5.9584560,7.2311650,10.30,1,3,1,q1_q17_dr24_tce,11111111111111111000000000000000,,Mandel and Agol (2002 ApJ 580 171),,,006/006209/006209225/dv/kplr006209225-20141002224145_dvr.pdf,006/006209/006209225/dv/kplr006209225-001-20141002224145_dvs.pdf,6553.00,161.00,-206.00,4.479,0.048,-0.048,-0.6400,0.2400,-0.3200,0.9620,0.3310,-0.0880,1.0170,0.0980,-0.1230,,,,stellar_q1_q17,293.161680,41.538158,13.993,14.287,13.964,13.868,13.850,13.067,12.811,12.779,0.087,19.544135000,0.000031000,41.53846000,0.00034000,0.90000,1.20000,1.10000,1.20000,-3.000000e-04,4.30000e-04,-3.600000e-04,4.20000e-04,0.3300,0.6700,0.2000,2.3000,0.4000,1.5000,0.3100,0.6400,0.3000,2.3000,0.4000,1.6000
3070,12302530,K00438.02,Kepler-155 c,CONFIRMED,Active,2017-05-10,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,52.661526600,1.3600000e-04,-1.3600000e-04,183.5205400,2.140000e-03,-2.140000e-03,2455016.521,2.140000e-03,-2.140000e-03,0,,,,,,0.6820,0.0360,-0.4880,3.15920,0.07450,-0.07450,,,,1.0781e+03,2.930e+01,-2.930e+01,0.031827,5.325000e-03,-1.877000e-03,6.53473,8.57502,-4.64076,LS+MCMC,1.87,1.100e-01,-1.200e-01,0.2262,,,89.60,,,271.0,,,1.28,0.26,-0.25,98.600000,43.100000,-43.100000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2589,0.4639,q1_q17_dr25_koi,9.3948710,30.5848540,38.40,2,23,2,q1_q17_dr25_tce,11111111111111111000000000000000,0.44010,Mandel and Agol (2002 ApJ 580 171),,,012/012302/012302530/dv/kplr012302530-20160209194854_dvr.pdf,012/012302/012302530/dv/kplr012302530-002-20160209194854_dvs.pdf,3984.00,71.00,-86.00,4.720,0.030,-0.030,-0.2200,0.1500,-0.1500,0.5390,0.0310,-0.0350,0.5570,0.0300,-0.0360,,,,q1_q17_dr25_stellar,288.495820,51.081940,14.258,15.231,14.163,13.841,13.617,12.533,11.888,11.805,0.000,19.233035500,0.000009800,51.08230000,0.00012000,-0.67000,0.33000,1.31000,0.42000,4.400000e-04,3.50000e-04,-9.500000e-04,4.50000e-04,0.0860,0.0990,0.2500,0.1900,0.2600,0.1800,-0.0240,0.1000,0.1800,0.1900,0.1800,0.1900
87,4139816,K00812.03,Kepler-235 e,CONFIRMED,Active,2017-05-10,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,46.184203900,2.6540000e-04,-2.6540000e-04,165.2372900,4.300000e-03,-4.300000e-03,2454998.237,4.300000e-03,-4.300000e-03,0,,,,,,0.0130,0.4150,-0.0130,4.75800,0.13000,-0.13000,,,,1.3947e+03,5.640e+01,-5.640e+01,0.033974,1.334000e-03,-6.990000e-04,3.99779,0.24735,-1.29928,LS+MCMC,1.83,1.200e-01,-1.500e-01,0.2005,,,89.99,,,273.0,,,1.32,0.29,-0.30,76.670000,4.700000,-4.700000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.4175,0.2365,q1_q17_dr25_koi,6.2605453,18.0209080,26.00,4,25,3,q1_q17_dr25_tce,11111111111111111000000000000000,0.83580,Mandel and Agol (2002 ApJ 580 171),,,004/004139/004139816/dv/kplr004139816-20160209194854_dvr.pdf,004/004139/004139816/dv/kplr004139816-003-20160209194854_dvs.pdf,3950.00,70.00,-86.00,4.754,0.042,-0.031,-0.4600,0.1500,-0.1500,0.4930,0.0330,-0.0400,0.5020,0.0310,-0.0380,,,,q1_q17_dr25_stellar,286.079130,39.278320,15.954,17.187,15.978,15.425,15.103,13.952,13.278,13.116,0.006,19.071943000,0.000014000,39.27801000,0.00019000,0.08000,0.60000,-1.12000,0.67000,-4.400000e-04,8.20000e-04,1.440000e-03,9.40000e-04,-0.0700,0.1700,0.0400,0.2200,0.0800,0.2100,-0.2500,0.1700,-0.0600,0.1600,0.2600,0.1700
3844,8463346,K02529.02,Kepler-436 b,CONFIRMED,Active,2017-05-10,CANDIDATE,0.9970,0,0,0,0,q1_q17_dr25_koi,CENT_KIC_POS,64.001966900,6.2150000e-04,-6.2150000e-04,132.6177900,6.880000e-03,-6.880000e-03,2454965.618,6.880000e-03,-6.880000e-03,0,,,,,,0.7010,0.0130,-0.5260,4.72400,0.23100,-0.23100,,,,1.1125e+03,8.390e+01,-8.390e+01,0.032595,6.861000e-03,-3.128000e-03,2.22778,3.61727,-1.90545,LS+MCMC,2.48,1.200e-01,-1.100e-01,0.2826,,,89.49,,,322.0,,,2.55,0.44,-0.38,78.400000,31.800000,-31.800000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1082,0.6270,q1_q17_dr25_koi,4.4044185,12.0235320,14.20,2,22,2,q1_q17_dr25_tce,11111111111111111000000000000000,0.84570,Mandel and Agol (2002 ApJ 580 171),,,008/008463/008463346/dv/kplr008463346-20160209194854_dvr.pdf,008/008463/008463346/dv/kplr008463346-002-20160209194854_dvs.pdf,4652.00,74.00,-83.00,4.617,0.020,-0.032,0.0200,0.1500,-0.1500,0.6970,0.0340,-0.0300,0.7340,0.0330,-0.0370,,,,q1_q17_dr25_stellar,301.720760,44.412060,15.856,16.910,15.796,15.404,15.188,14.083,13.490,13.333,0.034,20.114785000,0.000024000,44.41243000,0.00028000,2.64000,0.91000,1.30000,1.00000,-8.000000e-04,1.10000e-03,-1.500000e-03,1.20000e-03,-0.1000,2.4000,0.3000,2.3000,0.3000,2.3000,0.4000,2.4000,0.5000,2.3000,0.6000,2.4000
8295,4862924,K07554.01,,CANDIDATE,Active,2015-09-18,CANDIDATE,,0,0,0,0,q1_q17_dr24_koi,EYEBALL---CLEAR_APO---TOO_FEW_QUARTERS,482.620110000,3.1270000e-02,-3.1270000e-02,314.0653000,3.870000e-02,-3.870000e-02,2455147.065,3.870000e-02,-3.870000e-02,0,,,,,,0.1786,0.2704,-0.1786,12.86000,1.30000,-1.30000,,,,3.2400e+02,4.610e+01,-4.610e+01,0.016595,1.068000e-03,-1.667000e-03,1.91938,0.28408,-1.17532,MCMC,1.98,1.020e+00,-2.100e-01,1.2328,,,89.95,,,263.0,,,1.12,1.72,-0.34,287.000000,42.500000,-42.500000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3047,0.3110,q1_q17_dr24_koi,7.1625610,7.3693420,8.10,1,3,1,q1_q17_dr24_tce,11111111111111111000000000000000,,Mandel and Agol (2002 ApJ 580 171),,,004/004862/004862924/dv/kplr004862924-20141002224145_dvr.pdf,004/004862/004862924/dv/kplr004862924-001-20141002224145_dvs.pdf,6315.00,167.00,-217.00,4.389,0.071,-0.071,-0.1600,0.2300,-0.3000,1.0950,0.5580,-0.1170,1.0660,0.2450,-0.1070,,,,stellar_q1_q17,298.276730,39.903851,14.519,14.930,14.472,14.343,14.263,13.438,13.156,13.087,0.750,19.885105000,0.000053000,39.90363000,0.00061000,-0.40000,2.20000,-0.80000,2.20000,2.700000e-04,7.50000e-04,9.000000e-05,7.50000e-04,-0.1800,0.7100,1.2800,0.7300,1.2900,0.7300,-0.2300,0.7100,1.1800,0.7300,1.2000,0.7300
6196,6067545,K05236.01,,FALSE POSITIVE,Active,2017-05-10,FALSE POSITIVE,0.0000,1,0,0,0,q1_q17_dr25_koi,INDIV_TRANS_SKYE---CENT_FEW_DIFFS,550.865140000,1.2150000e-02,-1.2150000e-02,307.6878000,1.300000e-02,-1.300000e-02,2455140.688,1.300000e-02,-1.300000e-02,0,,,,,,0.0270,0.4280,-0.0270,14.54800,0.48600,-0.48600,,,,3.4650e+02,1.930e+01,-1.930e+01,0.016926,7.320000e-04,-6.250000e-04,1.58520,0.07817,-0.64267,LS+MCMC,2.06,3.400e-01,-2.000e-01,1.3399,,,89.99,,,238.0,,,0.76,0.31,-0.18,294.100000,14.500000,-14.500000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2844,0.3661,q1_q17_dr25_koi,8.3609160,12.1340060,20.80,1,3,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.51330,Mandel and Agol (2002 ApJ 580 171),,,006/006067/006067545/dv/kplr006067545-20160209194854_dvr.pdf,006/006067/006067545/dv/kplr006067545-001-20160209194854_dvs.pdf,5912.00,71.00,-82.00,4.367,0.080,-0.120,0.1000,0.1500,-0.1500,1.1150,0.1810,-0.1110,1.0560,0.0750,-0.0680,,,,q1_q17_dr25_stellar,298.397980,41.314892,13.093,13.460,13.036,12.936,12.896,12.022,11.755,11.723,0.961,19.893200000,0.000023000,41.31493000,0.00021000,0.10000,0.92000,0.15000,0.75000,4.000000e-05,3.20000e-04,3.000000e-05,2.60000e-04,0.9000,1.2000,-0.5800,0.2800,1.0700,0.9900,1.1000,1.2000,-0.3500,0.3300,1.1000,1.1000
